t,x,y
10,0.000247251,6.37125e+06
20.1,0.000998211,6.37204e+06
30.2,0.00227522,6.37344e+06
40.3,0.00408452,6.37547e+06
50.4,0.00640189,6.37805e+06
60.5,0.0092444,6.38125e+06
70.6,0.0125819,6.38497e+06
80.7,0.0164068,6.38918e+06
90.8,0.0206763,6.39377e+06
100.9,0.025345,6.3986e+06
111,0.0303852,6.40358e+06
121.1,0.0358089,6.40876e+06
131.2,0.0416292,6.41418e+06
141.3,0.04786,6.41988e+06
151.4,0.0545162,6.42592e+06
161.5,0.0616141,6.43236e+06
171.6,0.0691713,6.43925e+06
181.7,0.0772069,6.44665e+06
191.8,0.0857418,6.45464e+06
201.9,0.094799,6.46329e+06
212,0.104404,6.47269e+06
222.1,0.114463,6.48255e+06
232.2,0.124721,6.49211e+06
242.3,0.135171,6.50135e+06
252.4,0.145815,6.51028e+06
262.5,0.156655,6.51892e+06
272.6,0.167693,6.52728e+06
282.7,0.178932,6.53537e+06
292.8,0.190375,6.54321e+06
302.9,0.202023,6.55082e+06
313,0.21388,6.55821e+06
323.1,0.22595,6.56539e+06
333.2,0.238234,6.57239e+06
343.3,0.250736,6.57922e+06
353.4,0.26346,6.5859e+06
363.5,0.27641,6.59245e+06
373.6,0.289589,6.59889e+06
383.7,0.303002,6.60523e+06
393.8,0.316652,6.61149e+06
403.9,0.330545,6.61771e+06
414,0.344685,6.62389e+06
424.1,0.359078,6.63007e+06
434.2,0.373729,6.63627e+06
444.3,0.388644,6.64251e+06
454.4,0.403828,6.64882e+06
464.5,0.41929,6.65523e+06
474.6,0.435035,6.66176e+06
484.7,0.451071,6.66846e+06
494.8,0.467407,6.67534e+06
504.9,0.484051,6.68245e+06
515,0.501012,6.68982e+06
525.1,0.800124,6.6975e+06
535.2,508.508,6.70513e+06
545.3,2003.04,6.7124e+06
555.4,4513.9,6.71931e+06
565.5,8072.33,6.72591e+06
575.6,12711.4,6.73219e+06
585.7,18466.4,6.73819e+06
595.8,25374.8,6.74392e+06
605.9,33543.2,6.74929e+06
616,43298.9,6.75382e+06
626.1,54741.2,6.75747e+06
636.2,67946.6,6.76022e+06
646.3,82998.7,6.76208e+06
656.4,99989.6,6.76305e+06
666.5,119021,6.76314e+06
676.6,140207,6.76233e+06
686.7,163674,6.76064e+06
696.8,189564,6.75806e+06
706.9,218042,6.75459e+06
717,249294,6.75023e+06
727.1,283535,6.74498e+06
737.2,321019,6.73884e+06
747.3,362048,6.7318e+06
757.4,406984,6.72387e+06
767.5,456278,6.71505e+06
777.6,510493,6.70533e+06
787.7,570369,6.69472e+06
797.8,636902,6.68321e+06
807.9,711524,6.6708e+06
818,796457,6.65749e+06
828.1,893802,6.64329e+06
838.2,993574,6.62818e+06
848.3,1.09321e+06,6.61219e+06
858.4,1.1927e+06,6.5953e+06
868.5,1.29203e+06,6.57751e+06
878.6,1.39119e+06,6.55885e+06
888.7,1.49016e+06,6.53929e+06
898.8,1.58892e+06,6.51886e+06
908.9,1.68748e+06,6.49754e+06
919,1.7858e+06,6.47536e+06
929.1,1.88389e+06,6.4523e+06
939.2,1.98172e+06,6.42839e+06
949.3,2.07929e+06,6.40361e+06
959.4,2.17659e+06,6.37798e+06
969.5,2.27359e+06,6.3515e+06
979.6,2.37029e+06,6.32419e+06
989.7,2.46668e+06,6.29603e+06
999.8,2.56275e+06,6.26705e+06
1009.9,2.65848e+06,6.23725e+06
1020,2.75386e+06,6.20664e+06
1030.1,2.84888e+06,6.17521e+06
1040.2,2.94354e+06,6.143e+06
1050.3,3.03782e+06,6.10999e+06
1060.4,3.13171e+06,6.07619e+06
1070.5,3.2252e+06,6.04163e+06
1080.6,3.31828e+06,6.0063e+06
1090.7,3.41095e+06,5.97021e+06
1100.8,3.50319e+06,5.93338e+06
1110.9,3.59499e+06,5.89581e+06
1121,3.68635e+06,5.85752e+06
1131.1,3.77726e+06,5.8185e+06
1141.2,3.86771e+06,5.77878e+06
1151.3,3.95769e+06,5.73835e+06
1161.4,4.04719e+06,5.69724e+06
1171.5,4.13621e+06,5.65545e+06
1181.6,4.22475e+06,5.61299e+06
1191.7,4.31278e+06,5.56987e+06
1201.8,4.40032e+06,5.52611e+06
1211.9,4.48735e+06,5.48171e+06
1222,4.57387e+06,5.43668e+06
1232.1,4.65986e+06,5.39103e+06
1242.2,4.74534e+06,5.34478e+06
1252.3,4.83028e+06,5.29793e+06
1262.4,4.9147e+06,5.2505e+06
1272.5,4.99857e+06,5.2025e+06
1282.6,5.08191e+06,5.15393e+06
1292.7,5.1647e+06,5.10481e+06
1302.8,5.24694e+06,5.05514e+06
1312.9,5.32863e+06,5.00495e+06
1323,5.40976e+06,4.95423e+06
1333.1,5.49034e+06,4.90301e+06
1343.2,5.57036e+06,4.85128e+06
1353.3,5.64981e+06,4.79907e+06
1363.4,5.72871e+06,4.74637e+06
1373.5,5.80703e+06,4.69321e+06
1383.6,5.88479e+06,4.63959e+06
1393.7,5.96198e+06,4.58552e+06
1403.8,6.0386e+06,4.53101e+06
1413.9,6.11466e+06,4.47608e+06
1424,6.19013e+06,4.42072e+06
1434.1,6.26504e+06,4.36496e+06
1444.2,6.33938e+06,4.3088e+06
1454.3,6.41314e+06,4.25225e+06
1464.4,6.48633e+06,4.19532e+06
1474.5,6.55895e+06,4.13802e+06
1484.6,6.631e+06,4.08036e+06
1494.7,6.70247e+06,4.02235e+06
1504.8,6.77338e+06,3.964e+06
1514.9,6.84371e+06,3.90531e+06
1525,6.91348e+06,3.8463e+06
1535.1,6.98268e+06,3.78697e+06
1545.2,7.05131e+06,3.72733e+06
1555.3,7.11938e+06,3.6674e+06
1565.4,7.18688e+06,3.60718e+06
1575.5,7.25383e+06,3.54667e+06
1585.6,7.32021e+06,3.48589e+06
1595.7,7.38603e+06,3.42484e+06
1605.8,7.4513e+06,3.36354e+06
1615.9,7.51601e+06,3.30199e+06
1626,7.58017e+06,3.24019e+06
1636.1,7.64378e+06,3.17816e+06
1646.2,7.70684e+06,3.1159e+06
1656.3,7.76936e+06,3.05342e+06
1666.4,7.83133e+06,2.99072e+06
1676.5,7.89277e+06,2.92782e+06
1686.6,7.95366e+06,2.86472e+06
1696.7,8.01402e+06,2.80143e+06
1706.8,8.07385e+06,2.73795e+06
1716.9,8.13315e+06,2.67429e+06
1727,8.19192e+06,2.61046e+06
1737.1,8.25017e+06,2.54646e+06
1747.2,8.30789e+06,2.4823e+06
1757.3,8.3651e+06,2.41799e+06
1767.4,8.42179e+06,2.35352e+06
1777.5,8.47797e+06,2.28892e+06
1787.6,8.53364e+06,2.22417e+06
1797.7,8.58881e+06,2.1593e+06
1807.8,8.64347e+06,2.0943e+06
1817.9,8.69764e+06,2.02917e+06
1828,8.7513e+06,1.96393e+06
1838.1,8.80448e+06,1.89858e+06
1848.2,8.85716e+06,1.83313e+06
1858.3,8.90936e+06,1.76757e+06
1868.4,8.96107e+06,1.70192e+06
1878.5,9.0123e+06,1.63618e+06
1888.6,9.06306e+06,1.57035e+06
1898.7,9.11334e+06,1.50443e+06
1908.8,9.16316e+06,1.43844e+06
1918.9,9.2125e+06,1.37238e+06
1929,9.26139e+06,1.30625e+06
1939.1,9.30981e+06,1.24005e+06
1949.2,9.35777e+06,1.1738e+06
1959.3,9.40528e+06,1.10748e+06
1969.4,9.45235e+06,1.04111e+06
1979.5,9.49896e+06,974697
1989.6,9.54513e+06,908234
1999.7,9.59086e+06,841730
2009.8,9.63616e+06,775188
2019.9,9.68102e+06,708610
2030,9.72545e+06,642001
2040.1,9.76945e+06,575364
2050.2,9.81303e+06,508702
2060.3,9.85619e+06,442018
2070.4,9.89893e+06,375315
2080.5,9.94126e+06,308597
2090.6,9.98317e+06,241865
2100.7,1.00247e+07,175124
2110.8,1.00658e+07,108376
2120.9,1.01065e+07,41623.9
2131,1.01468e+07,-25130.1
2141.1,1.01867e+07,-91883.2
