t,x,y
0,5.22401e-08,6.371e+06
0.1,1.56748e-07,6.371e+06
0.2,3.13553e-07,6.371e+06
0.3,5.22682e-07,6.371e+06
0.4,7.84164e-07,6.371e+06
0.5,1.09803e-06,6.371e+06
0.6,1.4643e-06,6.371e+06
0.7,1.88301e-06,6.371e+06
0.8,2.35419e-06,6.371e+06
0.9,2.87786e-06,6.371e+06
1,3.45405e-06,6.371e+06
1.1,4.08279e-06,6.371e+06
1.2,4.76412e-06,6.37101e+06
1.3,5.49805e-06,6.37101e+06
1.4,6.28462e-06,6.37101e+06
1.5,7.12385e-06,6.37101e+06
1.6,8.01578e-06,6.37101e+06
1.7,8.96043e-06,6.37101e+06
1.8,9.95783e-06,6.37101e+06
1.9,1.1008e-05,6.37101e+06
2,1.2111e-05,6.37101e+06
2.1,1.32668e-05,6.37102e+06
2.2,1.44755e-05,6.37102e+06
2.3,1.57371e-05,6.37102e+06
2.4,1.70516e-05,6.37102e+06
2.5,1.84191e-05,6.37102e+06
2.6,1.98395e-05,6.37102e+06
2.7,2.1313e-05,6.37103e+06
2.8,2.28395e-05,6.37103e+06
2.9,2.4419e-05,6.37103e+06
3,2.60517e-05,6.37103e+06
3.1,2.77375e-05,6.37103e+06
3.2,2.94764e-05,6.37104e+06
3.3,3.12685e-05,6.37104e+06
3.4,3.31139e-05,6.37104e+06
3.5,3.50124e-05,6.37104e+06
3.6,3.69643e-05,6.37104e+06
3.7,3.89694e-05,6.37105e+06
3.8,4.10279e-05,6.37105e+06
3.9,4.31398e-05,6.37105e+06
4,4.5305e-05,6.37105e+06
4.1,4.75236e-05,6.37106e+06
4.2,4.97957e-05,6.37106e+06
4.3,5.21213e-05,6.37106e+06
4.4,5.45004e-05,6.37107e+06
4.5,5.6933e-05,6.37107e+06
4.6,5.94192e-05,6.37107e+06
4.7,6.19589e-05,6.37107e+06
4.8,6.45523e-05,6.37108e+06
4.9,6.71994e-05,6.37108e+06
5,6.99001e-05,6.37108e+06
5.1,7.26546e-05,6.37109e+06
5.2,7.54628e-05,6.37109e+06
5.3,7.83247e-05,6.37109e+06
5.4,8.12405e-05,6.3711e+06
5.5,8.42101e-05,6.3711e+06
5.6,8.72336e-05,6.3711e+06
5.7,9.03109e-05,6.37111e+06
5.8,9.34422e-05,6.37111e+06
5.9,9.66274e-05,6.37112e+06
6,9.98666e-05,6.37112e+06
6.1,0.00010316,6.37112e+06
6.2,0.000106507,6.37113e+06
6.3,0.000109908,6.37113e+06
6.4,0.000113364,6.37114e+06
